path;db_name;id;brand;model;content_source;content_type;media_type;processing;tampering
D:\MA\AI\AI01_grok\AI01_grok_imagine_df_cat.mp4;SELFMADE;AI01;Grok;Imagine_0.9;MIXED;DEEPFAKE;MP4;ORIGINAL;NONE
D:\MA\AI\AI01_grok\AI01_grok_imagine_synth_cyborg.mp4;SELFMADE;AI01;Grok;Imagine_0.9;AI_GENERATION;SYNTHETIC;MP4;ORIGINAL;NONE
D:\MA\AI\AI08_perplexity\AI08_perplexity_veo_synth_squirrel.mp4;SELFMADE;AI08;Perplexity;Veo_3.1;AI_GENERATION;SYNTHETIC;MP4;ORIGINAL;NONE
D:\MA\AI\AI02_kling\AI02_kling_klingai_synth_squirrel.mp4;SELFMADE;AI02;Kling;KlingAIVideo_2.6;AI_GENERATION;SYNTHETIC;MP4;ORIGINAL;NONE
D:\MA\AI\AI03_luma\AI03_luma_luma_synth_squirrel.mp4;SELFMADE;AI03;LumaAI;LumaDream;AI_GENERATION;SYNTHETIC;MP4;ORIGINAL;NONE
D:\MA\AI\AI04_pika\AI04_pika_pika_df_cat.mp4;SELFMADE;AI04;Pika;Pika_2.5;MIXED;DEEPFAKE;MP4;ORIGINAL;NONE
D:\MA\AI\AI04_pika\AI04_pika_pika_synth_squirrel.mp4;SELFMADE;AI04;Pika;Pika_2.5;AI_GENERATION;SYNTHETIC;MP4;ORIGINAL;NONE
D:\MA\AI\AI05_gen4\AI05_gen4_runway_df_cat.mp4;SELFMADE;AI05;RunwayAI;Runway_4.5;MIXED;DEEPFAKE;MP4;ORIGINAL;NONE
D:\MA\AI\AI06_bing\AI06_bing_sora_df_cat.mp4;SELFMADE;AI06;Bing;Sora_2.0;MIXED;DEEPFAKE;MP4;ORIGINAL;NONE
D:\MA\AI\AI06_bing\AI06_bing_sora_synth_squirrel.mp4;SELFMADE;AI06;Bing;Sora_2.0;AI_GENERATION;SYNTHETIC;MP4;ORIGINAL;NONE
D:\MA\AI\AI07_gemini\AI07_gemini_veo_df_cat.mp4;SELFMADE;AI07;Gemini;Veo_3.1;MIXED;DEEPFAKE;MP4;ORIGINAL;NONE
