path;db_name;id;brand;model;content_source;content_type;media_type;processing;processing_sm;tampering
C:\DB\EVA-7K\non-SN\subset_avidemux\D01_V_indoor_move_0001.mp4;EVA-7K;D01;Samsung;GalaxyS3Mini;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D01_V_indoor_move_0002.mp4;EVA-7K;D01;Samsung;GalaxyS3Mini;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D01_V_outdoor_move_0001.mp4;EVA-7K;D01;Samsung;GalaxyS3Mini;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D01_V_outdoor_move_0002.mp4;EVA-7K;D01;Samsung;GalaxyS3Mini;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D02_V_indoor_move_0001.mp4;EVA-7K;D02;Apple;iPhone4s;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D02_V_indoor_panrot_0001.mp4;EVA-7K;D02;Apple;iPhone4s;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D02_V_outdoor_move_0001.mp4;EVA-7K;D02;Apple;iPhone4s;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D02_V_outdoor_panrot_0001.mp4;EVA-7K;D02;Apple;iPhone4s;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D03_V_indoor_move_0001.mp4;EVA-7K;D03;Huawei;P9;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D03_V_indoor_move_0002.mp4;EVA-7K;D03;Huawei;P9;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D03_V_outdoor_move_0001.mp4;EVA-7K;D03;Huawei;P9;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D03_V_outdoor_move_0002.mp4;EVA-7K;D03;Huawei;P9;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D04_V_indoor_move_0001.mp4;EVA-7K;D04;LG;D290;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D04_V_indoor_move_0002.mp4;EVA-7K;D04;LG;D290;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D04_V_outdoor_move_0001.mp4;EVA-7K;D04;LG;D290;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D04_V_outdoor_move_0002.mp4;EVA-7K;D04;LG;D290;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D05_V_indoor_move_0001.mp4;EVA-7K;D05;Apple;iPhone5c;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D05_V_indoor_move_0002.mp4;EVA-7K;D05;Apple;iPhone5c;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D05_V_outdoor_move_0001.mp4;EVA-7K;D05;Apple;iPhone5c;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D05_V_outdoor_move_0002.mp4;EVA-7K;D05;Apple;iPhone5c;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D06_V_indoor_move_0001.mp4;EVA-7K;D06;Apple;iPhone6;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D06_V_indoor_move_0002.mp4;EVA-7K;D06;Apple;iPhone6;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D06_V_outdoor_move_0001.mp4;EVA-7K;D06;Apple;iPhone6;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D06_V_outdoor_move_0002.mp4;EVA-7K;D06;Apple;iPhone6;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D07_V_indoor_move_0001.mp4;EVA-7K;D07;Lenovo;P70A;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D07_V_indoor_move_0002.mp4;EVA-7K;D07;Lenovo;P70A;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D07_V_outdoor_move_0001.mp4;EVA-7K;D07;Lenovo;P70A;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D07_V_outdoor_move_0002.mp4;EVA-7K;D07;Lenovo;P70A;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D08_V_indoor_move_0001.mp4;EVA-7K;D08;Samsung;GalaxyTab3;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D08_V_indoor_move_0002.mp4;EVA-7K;D08;Samsung;GalaxyTab3;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D08_V_outdoor_move_0001.mp4;EVA-7K;D08;Samsung;GalaxyTab3;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D08_V_outdoor_move_0002.mp4;EVA-7K;D08;Samsung;GalaxyTab3;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D09_V_indoor_move_0001.mp4;EVA-7K;D09;Apple;iPhone4;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D09_V_indoor_move_0002.mp4;EVA-7K;D09;Apple;iPhone4;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D09_V_outdoor_move_0001.mp4;EVA-7K;D09;Apple;iPhone4;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D09_V_outdoor_move_0002.mp4;EVA-7K;D09;Apple;iPhone4;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D10_V_indoor_move_0001.mp4;EVA-7K;D10;Apple;iPhone4s;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D10_V_indoor_move_0002.mp4;EVA-7K;D10;Apple;iPhone4s;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D10_V_outdoor_move_0001.mp4;EVA-7K;D10;Apple;iPhone4s;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D10_V_outdoor_panrot_0001.mp4;EVA-7K;D10;Apple;iPhone4s;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D11_V_indoor_move_0001.mp4;EVA-7K;D11;Samsung;GalaxyS3;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D11_V_indoor_move_0002.mp4;EVA-7K;D11;Samsung;GalaxyS3;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D11_V_outdoor_move_0001.mp4;EVA-7K;D11;Samsung;GalaxyS3;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D11_V_outdoor_move_0002.mp4;EVA-7K;D11;Samsung;GalaxyS3;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D12_V_indoor_move_0001.mp4;EVA-7K;D12;Sony;XperiaZ1Compact;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D12_V_indoor_move_0002.mp4;EVA-7K;D12;Sony;XperiaZ1Compact;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D12_V_outdoor_move_0001.mp4;EVA-7K;D12;Sony;XperiaZ1Compact;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D12_V_outdoor_move_0002.mp4;EVA-7K;D12;Sony;XperiaZ1Compact;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D13_V_indoor_move_0001.mp4;EVA-7K;D13;Apple;iPad2;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D13_V_indoor_move_0002.mp4;EVA-7K;D13;Apple;iPad2;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D13_V_outdoor_move_0001.mp4;EVA-7K;D13;Apple;iPad2;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
