path;db_name;id;brand;model;content_source;content_type;media_type;processing;tampering
G:\Meine Ablage\Cybermaster\5_WT26\Masterarbeit\Testdaten\EVA-7K\Facebook\subset_avidemux\D01_V_indoor_move_0001.mp4;EVA-7K;D01;Samsung;GalaxyS3Mini;DIGITAL_CAMERA;INDOOR;MP4;FACEBOOK;AVIDEMUX
G:\Meine Ablage\Cybermaster\5_WT26\Masterarbeit\Testdaten\EVA-7K\Facebook\subset_avidemux\D01_V_indoor_move_0002.mp4;EVA-7K;D01;Samsung;GalaxyS3Mini;DIGITAL_CAMERA;INDOOR;MP4;FACEBOOK;AVIDEMUX
G:\Meine Ablage\Cybermaster\5_WT26\Masterarbeit\Testdaten\EVA-7K\Facebook\subset_avidemux\D01_V_outdoor_move_0001.mp4;EVA-7K;D01;Samsung;GalaxyS3Mini;DIGITAL_CAMERA;OUTDOOR;MP4;FACEBOOK;AVIDEMUX
G:\Meine Ablage\Cybermaster\5_WT26\Masterarbeit\Testdaten\EVA-7K\Facebook\subset_avidemux\D01_V_outdoor_move_0002.mp4;EVA-7K;D01;Samsung;GalaxyS3Mini;DIGITAL_CAMERA;OUTDOOR;MP4;FACEBOOK;AVIDEMUX
G:\Meine Ablage\Cybermaster\5_WT26\Masterarbeit\Testdaten\EVA-7K\Facebook\subset_avidemux\D02_V_indoor_move_0001.mp4;EVA-7K;D02;Apple;iPhone4s;DIGITAL_CAMERA;INDOOR;MP4;FACEBOOK;AVIDEMUX
G:\Meine Ablage\Cybermaster\5_WT26\Masterarbeit\Testdaten\EVA-7K\Facebook\subset_avidemux\D02_V_indoor_panrot_0001.mp4;EVA-7K;D02;Apple;iPhone4s;DIGITAL_CAMERA;INDOOR;MP4;FACEBOOK;AVIDEMUX
G:\Meine Ablage\Cybermaster\5_WT26\Masterarbeit\Testdaten\EVA-7K\Facebook\subset_avidemux\D02_V_outdoor_move_0001.mp4;EVA-7K;D02;Apple;iPhone4s;DIGITAL_CAMERA;OUTDOOR;MP4;FACEBOOK;AVIDEMUX
G:\Meine Ablage\Cybermaster\5_WT26\Masterarbeit\Testdaten\EVA-7K\Facebook\subset_avidemux\D02_V_outdoor_panrot_0001.mp4;EVA-7K;D02;Apple;iPhone4s;DIGITAL_CAMERA;OUTDOOR;MP4;FACEBOOK;AVIDEMUX
G:\Meine Ablage\Cybermaster\5_WT26\Masterarbeit\Testdaten\EVA-7K\Facebook\subset_avidemux\D03_V_indoor_move_0001.mp4;EVA-7K;D03;Huawei;P9;DIGITAL_CAMERA;INDOOR;MP4;FACEBOOK;AVIDEMUX
G:\Meine Ablage\Cybermaster\5_WT26\Masterarbeit\Testdaten\EVA-7K\Facebook\subset_avidemux\D03_V_indoor_move_0002.mp4;EVA-7K;D03;Huawei;P9;DIGITAL_CAMERA;INDOOR;MP4;FACEBOOK;AVIDEMUX
G:\Meine Ablage\Cybermaster\5_WT26\Masterarbeit\Testdaten\EVA-7K\Facebook\subset_avidemux\D03_V_outdoor_move_0001.mp4;EVA-7K;D03;Huawei;P9;DIGITAL_CAMERA;OUTDOOR;MP4;FACEBOOK;AVIDEMUX
