path;db_name;id;brand;model;content_source;content_type;media_type;processing;tampering
D:\MA\VISION\D01_Samsung_GalaxyS3Mini\videos\flat\D01_V_flat_move_0001.mp4;VISION;D01;Samsung;GalaxyS3Mini;DIGITAL_CAMERA;FLAT;MP4;ORIGINAL;NONE
D:\MA\VISION\D01_Samsung_GalaxyS3Mini\videos\flat\D01_V_flat_move_0002.mp4;VISION;D01;Samsung;GalaxyS3Mini;DIGITAL_CAMERA;FLAT;MP4;ORIGINAL;NONE
D:\MA\VISION\D01_Samsung_GalaxyS3Mini\videos\flat\D01_V_flat_panrot_0001.mp4;VISION;D01;Samsung;GalaxyS3Mini;DIGITAL_CAMERA;FLAT;MP4;ORIGINAL;NONE
D:\MA\VISION\D01_Samsung_GalaxyS3Mini\videos\flat\D01_V_flat_still_0001.mp4;VISION;D01;Samsung;GalaxyS3Mini;DIGITAL_CAMERA;FLAT;MP4;ORIGINAL;NONE
D:\MA\VISION\D01_Samsung_GalaxyS3Mini\videos\flatWA\D01_V_flatWA_move_0001.mp4;VISION;D01;Samsung;GalaxyS3Mini;DIGITAL_CAMERA;FLAT;MP4;WHATSAPP;NONE
D:\MA\VISION\D01_Samsung_GalaxyS3Mini\videos\flatWA\D01_V_flatWA_move_0002.mp4;VISION;D01;Samsung;GalaxyS3Mini;DIGITAL_CAMERA;FLAT;MP4;WHATSAPP;NONE
D:\MA\VISION\D01_Samsung_GalaxyS3Mini\videos\flatWA\D01_V_flatWA_panrot_0001.mp4;VISION;D01;Samsung;GalaxyS3Mini;DIGITAL_CAMERA;FLAT;MP4;WHATSAPP;NONE
D:\MA\VISION\D01_Samsung_GalaxyS3Mini\videos\flatWA\D01_V_flatWA_still_0001.mp4;VISION;D01;Samsung;GalaxyS3Mini;DIGITAL_CAMERA;FLAT;MP4;WHATSAPP;NONE
D:\MA\VISION\D01_Samsung_GalaxyS3Mini\videos\flatYT\D01_V_flatYT_move_0001.mp4;VISION;D01;Samsung;GalaxyS3Mini;DIGITAL_CAMERA;FLAT;MP4;YOUTUBE;NONE
D:\MA\VISION\D01_Samsung_GalaxyS3Mini\videos\flatYT\D01_V_flatYT_move_0002.mp4;VISION;D01;Samsung;GalaxyS3Mini;DIGITAL_CAMERA;FLAT;MP4;YOUTUBE;NONE
D:\MA\VISION\D01_Samsung_GalaxyS3Mini\videos\flatYT\D01_V_flatYT_panrot_0001.mp4;VISION;D01;Samsung;GalaxyS3Mini;DIGITAL_CAMERA;FLAT;MP4;YOUTUBE;NONE
D:\MA\VISION\D01_Samsung_GalaxyS3Mini\videos\flatYT\D01_V_flatYT_still_0001.mp4;VISION;D01;Samsung;GalaxyS3Mini;DIGITAL_CAMERA;FLAT;MP4;YOUTUBE;NONE
D:\MA\VISION\D01_Samsung_GalaxyS3Mini\videos\indoor\D01_V_indoor_move_0001.mp4;VISION;D01;Samsung;GalaxyS3Mini;DIGITAL_CAMERA;INDOOR;MP4;ORIGINAL;NONE
D:\MA\VISION\D01_Samsung_GalaxyS3Mini\videos\indoor\D01_V_indoor_move_0002.mp4;VISION;D01;Samsung;GalaxyS3Mini;DIGITAL_CAMERA;INDOOR;MP4;ORIGINAL;NONE
D:\MA\VISION\D01_Samsung_GalaxyS3Mini\videos\indoor\D01_V_indoor_panrot_0001.mp4;VISION;D01;Samsung;GalaxyS3Mini;DIGITAL_CAMERA;INDOOR;MP4;ORIGINAL;NONE
D:\MA\VISION\D01_Samsung_GalaxyS3Mini\videos\indoor\D01_V_indoor_panrot_0002.mp4;VISION;D01;Samsung;GalaxyS3Mini;DIGITAL_CAMERA;INDOOR;MP4;ORIGINAL;NONE
D:\MA\VISION\D01_Samsung_GalaxyS3Mini\videos\indoor\D01_V_indoor_still_0001.mp4;VISION;D01;Samsung;GalaxyS3Mini;DIGITAL_CAMERA;INDOOR;MP4;ORIGINAL;NONE
D:\MA\VISION\D01_Samsung_GalaxyS3Mini\videos\indoor\D01_V_indoor_still_0002.mp4;VISION;D01;Samsung;GalaxyS3Mini;DIGITAL_CAMERA;INDOOR;MP4;ORIGINAL;NONE
D:\MA\VISION\D01_Samsung_GalaxyS3Mini\videos\indoorWA\D01_V_indoorWA_move_0001.mp4;VISION;D01;Samsung;GalaxyS3Mini;DIGITAL_CAMERA;INDOOR;MP4;WHATSAPP;NONE
