ground_truth;source;similarity
grok;LumaAI;1.0
grok;Bing;0.9535
grok;Bing;0.9535
grok;Perplexity;0.931
grok;Pika;0.931
grok;Gemini;0.907
grok;Kling;0.8372
grok;Apple;0.7838
grok;Apple;0.7838
grok;Apple;0.7838
grok;Apple;0.7838
grok;Apple;0.7838
grok;Apple;0.7838
grok;Apple;0.7838
grok;Apple;0.7838
grok;Apple;0.7838
grok;Apple;0.7838
grok;Apple;0.7838
grok;Apple;0.7838
grok;Apple;0.7838
grok;Apple;0.7838
grok;Apple;0.7838
grok;Apple;0.7838
grok;Apple;0.7838
grok;Apple;0.7838
grok;Apple;0.7838
grok;Apple;0.7838
grok;Apple;0.7838
grok;Apple;0.7838
grok;Apple;0.7838
grok;Apple;0.7838
grok;Apple;0.7838
grok;Apple;0.7838
grok;Apple;0.7838
grok;Apple;0.7838
grok;Apple;0.7838
grok;Apple;0.7838
grok;Apple;0.7838
grok;Apple;0.7838
grok;Apple;0.7838
grok;Apple;0.7838
grok;Apple;0.7838
grok;Apple;0.7838
grok;Apple;0.7838
grok;Apple;0.7838
grok;Apple;0.7838
grok;Apple;0.7838
grok;Apple;0.7838
grok;Apple;0.7838
grok;Apple;0.7838
grok;Apple;0.7838
grok;Asus;0.7838
grok;Asus;0.7838
grok;Asus;0.7838
grok;Asus;0.7838
grok;Asus;0.7838
grok;Asus;0.7838
grok;Asus;0.7838
grok;Asus;0.7838
grok;Huawei;0.7838
grok;Huawei;0.7838
grok;Huawei;0.7838
grok;Huawei;0.7838
grok;Huawei;0.7838
grok;Huawei;0.7838
grok;Huawei;0.7838
grok;Huawei;0.7838
grok;Lenovo;0.7838
grok;Lenovo;0.7838
grok;Lenovo;0.7838
grok;Lenovo;0.7838
grok;LG;0.7838
grok;LG;0.7838
grok;LG;0.7838
grok;LG;0.7838
grok;LG;0.7838
grok;LG;0.7838
grok;LG;0.7838
grok;LG;0.7838
grok;Samsung;0.7838
grok;Samsung;0.7838
grok;Samsung;0.7838
grok;Samsung;0.7838
grok;Samsung;0.7838
grok;Samsung;0.7838
grok;Samsung;0.7838
grok;Samsung;0.7838
grok;Samsung;0.7838
grok;Samsung;0.7838
grok;Samsung;0.7838
grok;Samsung;0.7838
grok;Wiko;0.7838
grok;Wiko;0.7838
grok;Wiko;0.7838
grok;Wiko;0.7838
grok;Sony;0.7778
grok;Sony;0.7778
grok;Sony;0.7778
grok;Sony;0.7778
grok;Apple;0.7632
grok;Apple;0.7632
grok;Apple;0.7632
grok;Apple;0.7632
grok;Apple;0.7632
grok;Apple;0.7632
grok;Apple;0.7632
grok;Apple;0.7632
grok;Apple;0.7632
grok;Apple;0.7632
grok;Apple;0.7632
grok;Apple;0.7632
grok;Apple;0.7632
