path;db_name;id;brand;model;content_source;content_type;media_type;processing;processing_sm;tampering;ngram_2
C:\DB\AI\AI01_GoogleFlow_OmniFlash\AI01_01_synth.mp4;AI;AI01;GoogleFlow;OmniFlash;AI_GENERATION;SYNTHETIC;MP4;ORIGINAL;False;NATIVE;avc1avcCavcCbtrtbtrtsttscttsstscdinfdrefdrefstbledtselstelstmdiaesdsbtrtfreemdatftypuuidhdlrilsthdlrminfilstfreemdhdhdlrmdiamdhdmetahdlrminfsmhdminfvmhdmoovmvhdmp4aesdsmvhdtraksbgpudtasgpdsbgpsmhddinfstblstsdstcosgpdstcotrakstscstszstsdavc1stsdmp4astsscttsstszstcosttsstscsttsstsstkhdedtstraktkhdudtametauuidmoovvmhddinf
C:\DB\AI\AI01_GoogleFlow_OmniFlash\AI01_03_df.mp4;AI;AI01;GoogleFlow;OmniFlash;MIXED;DEEPFAKE;MP4;ORIGINAL;False;NATIVE;avc1avcCavcCbtrtbtrtsttscttsstscdinfdrefdrefstbledtselstelstmdiaesdsbtrtfreemdatftypuuidhdlrilsthdlrminfilstfreemdhdhdlrmdiamdhdmetahdlrminfsmhdminfvmhdmoovmvhdmp4aesdsmvhdtraksbgpudtasgpdsbgpsmhddinfstblstsdstcosgpdstcotrakstscstszstsdavc1stsdmp4astsscttsstszstcosttsstscsttsstsstkhdedtstraktkhdudtametauuidmoovvmhddinf
C:\DB\AI\AI02_GoogleGemini_Veo3.1\AI02_01_synth.mp4;AI;AI02;GoogleGemini;Veo3.1;AI_GENERATION;SYNTHETIC;MP4;ORIGINAL;False;NATIVE;avc1avcCavcCbtrtbtrtsttscttsstscdinfdrefdrefstbledtselstelstmdiaesdsbtrtftypuuidhdlrilsthdlrminfmdatmoovmdhdhdlrmdiamdhdmetahdlrminfsmhdminfvmhdmoovmvhdmp4aesdsmvhdtraksbgpudtasgpdsbgpsmhddinfstblstsdstcosgpdstcotrakstscstszstsdavc1stsdmp4astsscttsstszstcosttsstscsttsstsstkhdedtstraktkhdudtametauuidmdatvmhddinf
C:\DB\AI\AI02_GoogleGemini_Veo3.1\AI02_03_df.mp4;AI;AI02;GoogleGemini;Veo3.1;MIXED;DEEPFAKE;MP4;ORIGINAL;False;NATIVE;avc1avcCavcCbtrtbtrtsttscttsstscdinfdrefdrefstbledtselstelstmdiaesdsbtrtfreemdatftypuuidhdlrilsthdlrminfilstfreemdhdhdlrmdiamdhdmetahdlrminfsmhdminfvmhdmoovmvhdmp4aesdsmvhdtraksbgpudtasgpdsbgpsmhddinfstblstsdstcosgpdstcotrakstscstszstsdavc1stsdmp4astsscttsstszstcosttsstscsttsstsstkhdedtstraktkhdudtametauuidmoovvmhddinf
C:\DB\AI\AI03_Grok_Imagine0.9\AI03_01_synth.mp4;AI;AI03;Grok;Imagine0.9;AI_GENERATION;SYNTHETIC;MP4;ORIGINAL;False;NATIVE;avc1avcCavcCbtrtbtrtsttscttsstscdinfdrefdrefstbledtselstelstmdiaesdsbtrtfreemdatftypmoovhdlrilsthdlrminfilstfreemdhdhdlrmdiamdhdmetahdlrminfsmhdminfvmhdmoovmvhdmp4aesdsmvhdtraksbgpudtasgpdsbgpsmhddinfstblstsdstcosgpdstcotrakstscstszstsdavc1stsdmp4astsscttsstszstcosttsstscsttsstsstkhdedtstraktkhdudtametavmhddinf
C:\DB\AI\AI04_Grok_Imagine1.5\AI04_01_df.mp4;AI;AI04;Grok;Imagine1.5;MIXED;DEEPFAKE;MP4;ORIGINAL;False;NATIVE;avc1avcCavcCbtrtbtrtsttscttsstscdinfdrefdrefstbledtselstelstmdiaesdsbtrtfreemdatftypmoovhdlrilsthdlrminfilstfreemdhdhdlrmdiamdhdmetahdlrminfsmhdminfvmhdmoovmvhdmp4aesdsmvhdtraksbgpudtasgpdsbgpsmhddinfstblstsdstcosgpdstcotrakstscstszstsdavc1stsdmp4astsscttsstszstcosttsstscsttsstsstkhdedtstraktkhdudtametavmhddinf
C:\DB\AI\AI04_Grok_Imagine1.5\AI04_03_df.mp4;AI;AI04;Grok;Imagine1.5;MIXED;DEEPFAKE;MP4;ORIGINAL;False;NATIVE;avc1avcCavcCbtrtbtrtsttscttsstscdinfdrefdrefstbledtselstelstmdiaesdsbtrtfreemdatftypmoovhdlrilsthdlrminfilstfreemdhdhdlrmdiamdhdmetahdlrminfsmhdminfvmhdmoovmvhdmp4aesdsmvhdtraksbgpudtasgpdsbgpsmhddinfstblstsdstcosgpdstcotrakstscstszstsdavc1stsdmp4astsscttsstszstcosttsstscsttsstsstkhdedtstraktkhdudtametavmhddinf
C:\DB\AI\AI04_Grok_Imagine1.5\AI04_05_df.mp4;AI;AI04;Grok;Imagine1.5;MIXED;DEEPFAKE;MP4;ORIGINAL;False;NATIVE;avc1avcCavcCbtrtbtrtsttscttsstscdinfdrefdrefstbledtselstelstmdiaesdsbtrtfreemdatftypmoovhdlrilsthdlrminfilstfreemdhdhdlrmdiamdhdmetahdlrminfsmhdminfvmhdmoovmvhdmp4aesdsmvhdtraksbgpudtasgpdsbgpsmhddinfstblstsdstcosgpdstcotrakstscstszstsdavc1stsdmp4astsscttsstszstcosttsstscsttsstsstkhdedtstraktkhdudtametavmhddinf
C:\DB\AI\AI04_Grok_Imagine1.5\AI04_07_df.mp4;AI;AI04;Grok;Imagine1.5;MIXED;DEEPFAKE;MP4;ORIGINAL;False;NATIVE;avc1avcCavcCbtrtbtrtsttscttsstscdinfdrefdrefstbledtselstelstmdiaesdsbtrtfreemdatftypmoovhdlrilsthdlrminfilstfreemdhdhdlrmdiamdhdmetahdlrminfsmhdminfvmhdmoovmvhdmp4aesdsmvhdtraksbgpudtasgpdsbgpsmhddinfstblstsdstcosgpdstcotrakstscstszstsdavc1stsdmp4astsscttsstszstcosttsstscsttsstsstkhdedtstraktkhdudtametavmhddinf
C:\DB\AI\AI04_Grok_Imagine1.5\AI04_09_synth.mp4;AI;AI04;Grok;Imagine1.5;AI_GENERATION;SYNTHETIC;MP4;ORIGINAL;False;NATIVE;avc1avcCavcCbtrtbtrtsttscttsstscdinfdrefdrefstbledtselstelstmdiaesdsbtrtfreemdatftypmoovhdlrilsthdlrminfilstfreemdhdhdlrmdiamdhdmetahdlrminfsmhdminfvmhdmoovmvhdmp4aesdsmvhdtraksbgpudtasgpdsbgpsmhddinfstblstsdstcosgpdstcotrakstscstszstsdavc1stsdmp4astsscttsstszstcosttsstscsttsstsstkhdedtstraktkhdudtametavmhddinf
C:\DB\AI\AI04_Grok_Imagine1.5\AI04_11_synth.mp4;AI;AI04;Grok;Imagine1.5;AI_GENERATION;SYNTHETIC;MP4;ORIGINAL;False;NATIVE;avc1avcCavcCbtrtbtrtsttscttsstscdinfdrefdrefstbledtselstelstmdiaesdsbtrtfreemdatftypmoovhdlrilsthdlrminfilstfreemdhdhdlrmdiamdhdmetahdlrminfsmhdminfvmhdmoovmvhdmp4aesdsmvhdtraksbgpudtasgpdsbgpsmhddinfstblstsdstcosgpdstcotrakstscstszstsdavc1stsdmp4astsscttsstszstcosttsstscsttsstsstkhdedtstraktkhdudtametavmhddinf
C:\DB\AI\AI04_Grok_Imagine1.5\AI04_14_df.mp4;AI;AI04;Grok;Imagine1.5;MIXED;DEEPFAKE;MP4;ORIGINAL;False;NATIVE;avc1avcCavcCcolrbtrtsttscolrbtrtcttsstscdinfdrefdrefstbledtselstelstmdiaesdsbtrtfreemdatftypmoovhdlrilsthdlrminfilstfreemdhdhdlrmdiamdhdmetahdlrminfsmhdminfvmhdmoovmvhdmp4aesdsmvhdtraksbgpudtasgpdsbgpsmhddinfstblstsdstcosgpdstcotrakstscstszstsdavc1stsdmp4astsscttsstszstcosttsstscsttsstsstkhdedtstraktkhdudtametavmhddinf
