ground_truth_source;ground_truth_mp4;filename;true_positive;similarity_2;similarity_3;similarity_4
Imagine1.5;omniflash;AI01_02_synth.mp4;False;0.95;0.953488;0.955556
Imagine1.5;omniflash;AI01_04_df.mp4;False;0.95;0.953488;0.955556
Imagine1.5;veo3.1;AI02_02_synth.mp4;False;0.923077;0.928571;0.931818
Imagine1.5;veo3.1;AI02_04_df.mp4;False;0.95;0.953488;0.955556
Imagine1.5;imagine0.9;AI03_02_df.mp4;False;1.0;1.0;1.0
Imagine1.5;imagine1.5;AI04_02_df.mp4;True;1.0;1.0;1.0
Imagine1.5;imagine1.5;AI04_04_df.mp4;True;1.0;1.0;1.0
Imagine1.5;imagine1.5;AI04_06_df.mp4;True;1.0;1.0;1.0
Imagine1.5;imagine1.5;AI04_08_df.mp4;True;1.0;1.0;1.0
Imagine1.5;imagine1.5;AI04_10_synth.mp4;True;1.0;1.0;1.0
Imagine1.5;imagine1.5;AI04_12_synth.mp4;True;1.0;1.0;1.0
Imagine1.5;imagine1.5;AI04_15_df.mp4;True;1.0;1.0;1.0
Imagine1.5;klingaivideo2.6;AI05_02_synth.mp4;False;0.903226;0.833333;0.758621
Imagine1.5;klingaivideo3.0;AI06_02_synth.mp4;False;0.903226;0.833333;0.758621
Imagine1.5;sora2;AI07_02_synth.mp4;False;0.95;0.953488;0.955556
Imagine1.5;sora2;AI07_04_synth.mp4;False;0.95;0.953488;0.955556
Imagine1.5;sora2;AI07_06_synth.mp4;False;0.95;0.953488;0.955556
Imagine1.5;sora2;AI07_08_synth.mp4;False;0.95;0.953488;0.955556
Imagine1.5;sora2;AI07_10_df.mp4;False;0.95;0.953488;0.955556
Imagine1.5;pika1.5;AI08_02_df.mp4;False;1.0;1.0;1.0
Imagine1.5;pika1.5;AI08_04_df.mp4;False;1.0;1.0;1.0
Imagine1.5;pika2.0;AI09_02_df.mp4;False;0.862069;0.75;0.666667
Imagine1.5;pika2.0;AI09_04_df.mp4;False;0.862069;0.75;0.666667
Imagine1.5;pika2.2;AI10_02_df.mp4;False;0.931034;0.857143;0.777778
Imagine1.5;pika2.2;AI10_04_df.mp4;False;0.931034;0.857143;0.777778
Imagine1.5;pika2.5;AI11_02_df.mp4;False;1.0;1.0;1.0
Imagine1.5;pika2.5;AI11_04_df.mp4;False;1.0;1.0;1.0
Imagine1.5;pika2.5;AI11_06_synth.mp4;False;0.966667;0.931034;0.892857
Imagine1.5;pika2.5;AI11_08_synth.mp4;False;0.862069;0.75;0.666667
Imagine1.5;pika2.5;AI11_10_df.mp4;False;0.966667;0.931034;0.892857
