ground_truth_source;ground_truth_mp4;filename;true_positive;similarity_2;similarity_3;similarity_4
KlingAIVideo2.6;omniflash;AI01_02_synth.mp4;False;0.875;0.813953;0.755556
KlingAIVideo2.6;omniflash;AI01_04_df.mp4;False;0.875;0.813953;0.755556
KlingAIVideo2.6;veo3.1;AI02_02_synth.mp4;False;0.846154;0.809524;0.772727
KlingAIVideo2.6;veo3.1;AI02_04_df.mp4;False;0.875;0.813953;0.755556
KlingAIVideo2.6;imagine0.9;AI03_02_df.mp4;False;0.923077;0.857143;0.795455
KlingAIVideo2.6;imagine1.5;AI04_02_df.mp4;False;0.923077;0.857143;0.795455
KlingAIVideo2.6;imagine1.5;AI04_04_df.mp4;False;0.923077;0.857143;0.795455
KlingAIVideo2.6;imagine1.5;AI04_06_df.mp4;False;0.923077;0.857143;0.795455
KlingAIVideo2.6;imagine1.5;AI04_08_df.mp4;False;0.923077;0.857143;0.795455
KlingAIVideo2.6;imagine1.5;AI04_10_synth.mp4;False;0.923077;0.857143;0.795455
KlingAIVideo2.6;imagine1.5;AI04_12_synth.mp4;False;0.923077;0.857143;0.795455
KlingAIVideo2.6;imagine1.5;AI04_15_df.mp4;False;0.875;0.790698;0.711111
KlingAIVideo2.6;klingaivideo2.6;AI05_02_synth.mp4;True;1.0;1.0;1.0
KlingAIVideo2.6;klingaivideo3.0;AI06_02_synth.mp4;False;1.0;1.0;1.0
KlingAIVideo2.6;sora2;AI07_02_synth.mp4;False;0.875;0.813953;0.755556
KlingAIVideo2.6;sora2;AI07_04_synth.mp4;False;0.875;0.813953;0.755556
KlingAIVideo2.6;sora2;AI07_06_synth.mp4;False;0.875;0.813953;0.755556
KlingAIVideo2.6;sora2;AI07_08_synth.mp4;False;0.875;0.813953;0.755556
KlingAIVideo2.6;sora2;AI07_10_df.mp4;False;0.875;0.813953;0.755556
KlingAIVideo2.6;pika1.5;AI08_02_df.mp4;False;0.923077;0.857143;0.795455
KlingAIVideo2.6;pika1.5;AI08_04_df.mp4;False;0.923077;0.857143;0.795455
KlingAIVideo2.6;pika2.0;AI09_02_df.mp4;False;0.862069;0.785714;0.740741
KlingAIVideo2.6;pika2.0;AI09_04_df.mp4;False;0.862069;0.785714;0.740741
KlingAIVideo2.6;pika2.2;AI10_02_df.mp4;False;0.931034;0.857143;0.777778
KlingAIVideo2.6;pika2.2;AI10_04_df.mp4;False;0.931034;0.857143;0.777778
KlingAIVideo2.6;pika2.5;AI11_02_df.mp4;False;0.923077;0.857143;0.795455
KlingAIVideo2.6;pika2.5;AI11_04_df.mp4;False;0.923077;0.857143;0.795455
KlingAIVideo2.6;pika2.5;AI11_06_synth.mp4;False;0.966667;0.931034;0.892857
KlingAIVideo2.6;pika2.5;AI11_08_synth.mp4;False;0.862069;0.785714;0.740741
KlingAIVideo2.6;pika2.5;AI11_10_df.mp4;False;0.966667;0.931034;0.892857
