ground_truth_source;ground_truth_mp4;filename;true_positive;similarity_2;similarity_3;similarity_4
DEEPFAKE;synthetic;AI01_02_synth.mp4;False;1.0;1.0;1.0
DEEPFAKE;deepfake;AI01_04_df.mp4;True;1.0;1.0;1.0
DEEPFAKE;synthetic;AI02_02_synth.mp4;False;0.948718;0.928571;0.931818
DEEPFAKE;deepfake;AI02_04_df.mp4;True;1.0;1.0;1.0
DEEPFAKE;deepfake;AI04_02_df.mp4;True;1.0;1.0;1.0
DEEPFAKE;deepfake;AI04_04_df.mp4;True;1.0;1.0;1.0
DEEPFAKE;deepfake;AI04_06_df.mp4;True;1.0;1.0;1.0
DEEPFAKE;deepfake;AI04_08_df.mp4;True;1.0;1.0;1.0
DEEPFAKE;synthetic;AI04_10_synth.mp4;False;1.0;1.0;1.0
DEEPFAKE;synthetic;AI04_12_synth.mp4;False;1.0;1.0;1.0
DEEPFAKE;deepfake;AI04_15_df.mp4;True;1.0;1.0;1.0
DEEPFAKE;synthetic;AI07_02_synth.mp4;False;1.0;1.0;1.0
DEEPFAKE;synthetic;AI07_04_synth.mp4;False;1.0;1.0;1.0
DEEPFAKE;synthetic;AI07_06_synth.mp4;False;1.0;1.0;1.0
DEEPFAKE;synthetic;AI07_08_synth.mp4;False;1.0;1.0;1.0
DEEPFAKE;deepfake;AI07_10_df.mp4;True;1.0;1.0;1.0
DEEPFAKE;deepfake;AI11_02_df.mp4;True;1.0;1.0;1.0
DEEPFAKE;deepfake;AI11_04_df.mp4;True;1.0;1.0;1.0
DEEPFAKE;synthetic;AI11_06_synth.mp4;False;1.0;1.0;1.0
DEEPFAKE;synthetic;AI11_08_synth.mp4;False;0.896552;0.821429;0.777778
DEEPFAKE;deepfake;AI11_10_df.mp4;True;1.0;1.0;1.0
