ground_truth_source;ground_truth_mp4;filename;true_positive;similarity_2;similarity_3;similarity_4
SYNTHETIC;synthetic;AI01_02_synth.mp4;True;1.0;1.0;1.0
SYNTHETIC;deepfake;AI01_04_df.mp4;False;1.0;1.0;1.0
SYNTHETIC;synthetic;AI02_02_synth.mp4;True;1.0;1.0;1.0
SYNTHETIC;deepfake;AI02_04_df.mp4;False;1.0;1.0;1.0
SYNTHETIC;deepfake;AI04_02_df.mp4;False;1.0;1.0;1.0
SYNTHETIC;deepfake;AI04_04_df.mp4;False;1.0;1.0;1.0
SYNTHETIC;deepfake;AI04_06_df.mp4;False;1.0;1.0;1.0
SYNTHETIC;deepfake;AI04_08_df.mp4;False;1.0;1.0;1.0
SYNTHETIC;synthetic;AI04_10_synth.mp4;True;1.0;1.0;1.0
SYNTHETIC;synthetic;AI04_12_synth.mp4;True;1.0;1.0;1.0
SYNTHETIC;deepfake;AI04_15_df.mp4;False;0.95;0.930233;0.911111
SYNTHETIC;synthetic;AI07_02_synth.mp4;True;1.0;1.0;1.0
SYNTHETIC;synthetic;AI07_04_synth.mp4;True;1.0;1.0;1.0
SYNTHETIC;synthetic;AI07_06_synth.mp4;True;1.0;1.0;1.0
SYNTHETIC;synthetic;AI07_08_synth.mp4;True;1.0;1.0;1.0
SYNTHETIC;deepfake;AI07_10_df.mp4;False;1.0;1.0;1.0
SYNTHETIC;deepfake;AI11_02_df.mp4;False;1.0;1.0;1.0
SYNTHETIC;deepfake;AI11_04_df.mp4;False;1.0;1.0;1.0
SYNTHETIC;synthetic;AI11_06_synth.mp4;True;1.0;1.0;1.0
SYNTHETIC;synthetic;AI11_08_synth.mp4;True;0.931034;0.857143;0.814815
SYNTHETIC;deepfake;AI11_10_df.mp4;False;1.0;1.0;1.0
