ground_truth_source;ground_truth_mp4;filename;true_positive;similarity_2;similarity_3;similarity_4
DIGITAL_CAMERA_ORIGINAL;ai_generation_original;AI01_02_synth.mp4;False;0.75;0.604651;0.555556
DIGITAL_CAMERA_ORIGINAL;mixed_original;AI01_04_df.mp4;False;0.75;0.604651;0.555556
DIGITAL_CAMERA_ORIGINAL;ai_generation_original;AI02_02_synth.mp4;False;0.74359;0.642857;0.590909
DIGITAL_CAMERA_ORIGINAL;mixed_original;AI02_04_df.mp4;False;0.75;0.604651;0.555556
DIGITAL_CAMERA_ORIGINAL;mixed_original;AI03_02_df.mp4;False;0.794872;0.642857;0.590909
DIGITAL_CAMERA_ORIGINAL;mixed_original;AI04_02_df.mp4;False;0.794872;0.642857;0.590909
DIGITAL_CAMERA_ORIGINAL;mixed_original;AI04_04_df.mp4;False;0.794872;0.642857;0.590909
DIGITAL_CAMERA_ORIGINAL;mixed_original;AI04_06_df.mp4;False;0.794872;0.642857;0.590909
DIGITAL_CAMERA_ORIGINAL;mixed_original;AI04_08_df.mp4;False;0.794872;0.642857;0.590909
DIGITAL_CAMERA_ORIGINAL;ai_generation_original;AI04_10_synth.mp4;False;0.794872;0.642857;0.590909
DIGITAL_CAMERA_ORIGINAL;ai_generation_original;AI04_12_synth.mp4;False;0.794872;0.642857;0.590909
DIGITAL_CAMERA_ORIGINAL;mixed_original;AI04_15_df.mp4;False;0.8;0.651163;0.6
DIGITAL_CAMERA_ORIGINAL;ai_generation_original;AI05_02_synth.mp4;False;0.870968;0.733333;0.62069
DIGITAL_CAMERA_ORIGINAL;ai_generation_original;AI06_02_synth.mp4;False;0.870968;0.733333;0.62069
DIGITAL_CAMERA_ORIGINAL;ai_generation_original;AI07_02_synth.mp4;False;0.75;0.604651;0.555556
DIGITAL_CAMERA_ORIGINAL;ai_generation_original;AI07_04_synth.mp4;False;0.75;0.604651;0.555556
DIGITAL_CAMERA_ORIGINAL;ai_generation_original;AI07_06_synth.mp4;False;0.75;0.604651;0.555556
DIGITAL_CAMERA_ORIGINAL;ai_generation_original;AI07_08_synth.mp4;False;0.75;0.604651;0.555556
DIGITAL_CAMERA_ORIGINAL;mixed_original;AI07_10_df.mp4;False;0.75;0.604651;0.555556
DIGITAL_CAMERA_ORIGINAL;mixed_original;AI08_02_df.mp4;False;0.794872;0.642857;0.590909
DIGITAL_CAMERA_ORIGINAL;mixed_original;AI08_04_df.mp4;False;0.794872;0.642857;0.590909
DIGITAL_CAMERA_ORIGINAL;mixed_original;AI09_02_df.mp4;False;0.896552;0.785714;0.703704
DIGITAL_CAMERA_ORIGINAL;mixed_original;AI09_04_df.mp4;False;0.896552;0.785714;0.703704
DIGITAL_CAMERA_ORIGINAL;mixed_original;AI10_02_df.mp4;False;0.931034;0.785714;0.703704
DIGITAL_CAMERA_ORIGINAL;mixed_original;AI10_04_df.mp4;False;0.931034;0.785714;0.703704
DIGITAL_CAMERA_ORIGINAL;mixed_original;AI11_02_df.mp4;False;0.794872;0.642857;0.590909
DIGITAL_CAMERA_ORIGINAL;mixed_original;AI11_04_df.mp4;False;0.794872;0.642857;0.590909
DIGITAL_CAMERA_ORIGINAL;ai_generation_original;AI11_06_synth.mp4;False;0.866667;0.689655;0.607143
DIGITAL_CAMERA_ORIGINAL;ai_generation_original;AI11_08_synth.mp4;False;0.896552;0.785714;0.703704
DIGITAL_CAMERA_ORIGINAL;mixed_original;AI11_10_df.mp4;False;0.866667;0.689655;0.607143
DIGITAL_CAMERA_ORIGINAL;digital_camera_original;D01_V_flat_move_0002.mp4;True;1.0;1.0;1.0
DIGITAL_CAMERA_ORIGINAL;digital_camera_original;D01_V_flat_panrot_0001.mp4;True;1.0;1.0;1.0
DIGITAL_CAMERA_ORIGINAL;digital_camera_original;D01_V_flat_still_0001.mp4;True;1.0;1.0;1.0
DIGITAL_CAMERA_ORIGINAL;digital_camera_original;D01_V_indoor_move_0002.mp4;True;1.0;1.0;1.0
DIGITAL_CAMERA_ORIGINAL;digital_camera_original;D01_V_indoor_panrot_0001.mp4;True;1.0;1.0;1.0
DIGITAL_CAMERA_ORIGINAL;digital_camera_original;D01_V_indoor_panrot_0002.mp4;True;1.0;1.0;1.0
DIGITAL_CAMERA_ORIGINAL;digital_camera_original;D01_V_indoor_still_0001.mp4;True;1.0;1.0;1.0
DIGITAL_CAMERA_ORIGINAL;digital_camera_original;D01_V_indoor_still_0002.mp4;True;1.0;1.0;1.0
DIGITAL_CAMERA_ORIGINAL;digital_camera_original;D01_V_outdoor_move_0002.mp4;True;1.0;1.0;1.0
DIGITAL_CAMERA_ORIGINAL;digital_camera_original;D01_V_outdoor_move_0003.mp4;True;1.0;1.0;1.0
DIGITAL_CAMERA_ORIGINAL;digital_camera_original;D01_V_outdoor_move_0004.mp4;True;1.0;1.0;1.0
DIGITAL_CAMERA_ORIGINAL;digital_camera_original;D01_V_outdoor_panrot_0001.mp4;True;1.0;1.0;1.0
DIGITAL_CAMERA_ORIGINAL;digital_camera_original;D01_V_outdoor_panrot_0002.mp4;True;1.0;1.0;1.0
DIGITAL_CAMERA_ORIGINAL;digital_camera_original;D01_V_outdoor_panrot_0003.mp4;True;1.0;1.0;1.0
DIGITAL_CAMERA_ORIGINAL;digital_camera_original;D01_V_outdoor_panrot_0004.mp4;True;1.0;1.0;1.0
DIGITAL_CAMERA_ORIGINAL;digital_camera_original;D01_V_outdoor_still_0001.mp4;True;1.0;1.0;1.0
DIGITAL_CAMERA_ORIGINAL;digital_camera_original;D01_V_outdoor_still_0002.mp4;True;1.0;1.0;1.0
DIGITAL_CAMERA_ORIGINAL;digital_camera_original;D01_V_outdoor_still_0003.mp4;True;1.0;1.0;1.0
DIGITAL_CAMERA_ORIGINAL;digital_camera_original;D01_V_outdoor_still_0004.mp4;True;1.0;1.0;1.0
DIGITAL_CAMERA_ORIGINAL;digital_camera_original;D02_V_flat_move_0002.mov;True;1.0;1.0;1.0
DIGITAL_CAMERA_ORIGINAL;digital_camera_original;D02_V_flat_panrot_0001.mov;True;1.0;1.0;1.0
DIGITAL_CAMERA_ORIGINAL;digital_camera_original;D02_V_flat_still_0001.mov;True;1.0;1.0;1.0
DIGITAL_CAMERA_ORIGINAL;digital_camera_original;D02_V_indoor_panrot_0001.mov;True;1.0;1.0;1.0
DIGITAL_CAMERA_ORIGINAL;digital_camera_original;D02_V_indoor_still_0001.mov;True;1.0;1.0;1.0
DIGITAL_CAMERA_ORIGINAL;digital_camera_original;D02_V_outdoor_panrot_0001.mov;True;1.0;1.0;1.0
