ground_truth_source;ground_truth_mp4;filename;true_positive;similarity_2;similarity_3;similarity_4
A3003_ORIGINAL;galaxys3mini_original;D01_V_flat_move_0002.mp4;False;0.709677;0.636364;0.571429
A3003_ORIGINAL;galaxys3mini_original;D01_V_flat_panrot_0001.mp4;False;0.709677;0.636364;0.571429
A3003_ORIGINAL;galaxys3mini_original;D01_V_flat_still_0001.mp4;False;0.709677;0.636364;0.571429
A3003_ORIGINAL;galaxys3mini_original;D01_V_indoor_move_0002.mp4;False;0.709677;0.636364;0.571429
A3003_ORIGINAL;galaxys3mini_original;D01_V_indoor_panrot_0001.mp4;False;0.709677;0.636364;0.571429
A3003_ORIGINAL;galaxys3mini_original;D01_V_indoor_panrot_0002.mp4;False;0.709677;0.636364;0.571429
A3003_ORIGINAL;galaxys3mini_original;D01_V_indoor_still_0001.mp4;False;0.709677;0.636364;0.571429
A3003_ORIGINAL;galaxys3mini_original;D01_V_indoor_still_0002.mp4;False;0.709677;0.636364;0.571429
A3003_ORIGINAL;galaxys3mini_original;D01_V_outdoor_move_0002.mp4;False;0.709677;0.636364;0.571429
A3003_ORIGINAL;galaxys3mini_original;D01_V_outdoor_move_0003.mp4;False;0.709677;0.636364;0.571429
A3003_ORIGINAL;galaxys3mini_original;D01_V_outdoor_move_0004.mp4;False;0.709677;0.636364;0.571429
A3003_ORIGINAL;galaxys3mini_original;D01_V_outdoor_panrot_0001.mp4;False;0.709677;0.636364;0.571429
A3003_ORIGINAL;galaxys3mini_original;D01_V_outdoor_panrot_0002.mp4;False;0.709677;0.636364;0.571429
A3003_ORIGINAL;galaxys3mini_original;D01_V_outdoor_panrot_0003.mp4;False;0.709677;0.636364;0.571429
A3003_ORIGINAL;galaxys3mini_original;D01_V_outdoor_panrot_0004.mp4;False;0.709677;0.636364;0.571429
A3003_ORIGINAL;galaxys3mini_original;D01_V_outdoor_still_0001.mp4;False;0.709677;0.636364;0.571429
A3003_ORIGINAL;galaxys3mini_original;D01_V_outdoor_still_0002.mp4;False;0.709677;0.636364;0.571429
A3003_ORIGINAL;galaxys3mini_original;D01_V_outdoor_still_0003.mp4;False;0.709677;0.636364;0.571429
A3003_ORIGINAL;galaxys3mini_original;D01_V_outdoor_still_0004.mp4;False;0.709677;0.636364;0.571429
A3003_ORIGINAL;iphone4s_original;D02_V_flat_move_0002.mov;False;0.403846;0.267857;0.169492
A3003_ORIGINAL;iphone4s_original;D02_V_flat_panrot_0001.mov;False;0.396226;0.263158;0.166667
A3003_ORIGINAL;iphone4s_original;D02_V_flat_still_0001.mov;False;0.396226;0.263158;0.166667
A3003_ORIGINAL;iphone4s_original;D02_V_indoor_panrot_0001.mov;False;0.396226;0.263158;0.166667
A3003_ORIGINAL;iphone4s_original;D02_V_indoor_still_0001.mov;False;0.396226;0.263158;0.166667
A3003_ORIGINAL;iphone4s_original;D02_V_outdoor_panrot_0001.mov;False;0.396226;0.263158;0.166667
A3003_ORIGINAL;iphone4s_original;D02_V_outdoor_panrot_0002.mov;False;0.396226;0.263158;0.166667
A3003_ORIGINAL;iphone4s_original;D02_V_outdoor_still_0001.mov;False;0.396226;0.263158;0.166667
A3003_ORIGINAL;iphone4s_original;D02_V_outdoor_still_0002.mov;False;0.396226;0.263158;0.166667
A3003_ORIGINAL;iphone4s_original;D02_V_outdoor_still_0003.mov;False;0.396226;0.263158;0.166667
A3003_ORIGINAL;p9_original;D03_V_flat_move_0002.mp4;False;0.970588;0.944444;0.921053
A3003_ORIGINAL;p9_original;D03_V_flat_move_0003.mp4;False;0.970588;0.944444;0.921053
A3003_ORIGINAL;p9_original;D03_V_flat_panrot_0001.mp4;False;0.970588;0.944444;0.921053
A3003_ORIGINAL;p9_original;D03_V_flat_panrot_0002.mp4;False;0.970588;0.944444;0.921053
A3003_ORIGINAL;p9_original;D03_V_flat_still_0001.mp4;False;0.970588;0.944444;0.921053
A3003_ORIGINAL;p9_original;D03_V_indoor_move_0002.mp4;False;0.970588;0.944444;0.921053
A3003_ORIGINAL;p9_original;D03_V_indoor_panrot_0001.mp4;False;0.970588;0.944444;0.921053
A3003_ORIGINAL;p9_original;D03_V_indoor_panrot_0002.mp4;False;0.970588;0.944444;0.921053
A3003_ORIGINAL;p9_original;D03_V_indoor_still_0001.mp4;False;0.970588;0.944444;0.921053
A3003_ORIGINAL;p9_original;D03_V_indoor_still_0002.mp4;False;0.970588;0.944444;0.921053
A3003_ORIGINAL;p9_original;D03_V_outdoor_move_0002.mp4;False;0.970588;0.944444;0.921053
A3003_ORIGINAL;p9_original;D03_V_outdoor_panrot_0001.mp4;False;0.970588;0.944444;0.921053
A3003_ORIGINAL;p9_original;D03_V_outdoor_panrot_0002.mp4;False;0.970588;0.944444;0.921053
