ground_truth_source;ground_truth_mp4;filename;true_positive;similarity_2;similarity_3;similarity_4
P89_ORIGINAL;galaxys3mini_original;D01_V_flat_move_0002.mp4;False;0.774194;0.727273;0.714286
P89_ORIGINAL;galaxys3mini_original;D01_V_flat_panrot_0001.mp4;False;0.774194;0.727273;0.714286
P89_ORIGINAL;galaxys3mini_original;D01_V_flat_still_0001.mp4;False;0.774194;0.727273;0.714286
P89_ORIGINAL;galaxys3mini_original;D01_V_indoor_move_0002.mp4;False;0.774194;0.727273;0.714286
P89_ORIGINAL;galaxys3mini_original;D01_V_indoor_panrot_0001.mp4;False;0.774194;0.727273;0.714286
P89_ORIGINAL;galaxys3mini_original;D01_V_indoor_panrot_0002.mp4;False;0.774194;0.727273;0.714286
P89_ORIGINAL;galaxys3mini_original;D01_V_indoor_still_0001.mp4;False;0.774194;0.727273;0.714286
P89_ORIGINAL;galaxys3mini_original;D01_V_indoor_still_0002.mp4;False;0.774194;0.727273;0.714286
P89_ORIGINAL;galaxys3mini_original;D01_V_outdoor_move_0002.mp4;False;0.774194;0.727273;0.714286
P89_ORIGINAL;galaxys3mini_original;D01_V_outdoor_move_0003.mp4;False;0.774194;0.727273;0.714286
P89_ORIGINAL;galaxys3mini_original;D01_V_outdoor_move_0004.mp4;False;0.774194;0.727273;0.714286
P89_ORIGINAL;galaxys3mini_original;D01_V_outdoor_panrot_0001.mp4;False;0.774194;0.727273;0.714286
P89_ORIGINAL;galaxys3mini_original;D01_V_outdoor_panrot_0002.mp4;False;0.774194;0.727273;0.714286
P89_ORIGINAL;galaxys3mini_original;D01_V_outdoor_panrot_0003.mp4;False;0.774194;0.727273;0.714286
P89_ORIGINAL;galaxys3mini_original;D01_V_outdoor_panrot_0004.mp4;False;0.774194;0.727273;0.714286
P89_ORIGINAL;galaxys3mini_original;D01_V_outdoor_still_0001.mp4;False;0.774194;0.727273;0.714286
P89_ORIGINAL;galaxys3mini_original;D01_V_outdoor_still_0002.mp4;False;0.774194;0.727273;0.714286
P89_ORIGINAL;galaxys3mini_original;D01_V_outdoor_still_0003.mp4;False;0.774194;0.727273;0.714286
P89_ORIGINAL;galaxys3mini_original;D01_V_outdoor_still_0004.mp4;False;0.774194;0.727273;0.714286
P89_ORIGINAL;iphone4s_original;D02_V_flat_move_0002.mov;False;0.384615;0.25;0.169492
P89_ORIGINAL;iphone4s_original;D02_V_flat_panrot_0001.mov;False;0.377358;0.245614;0.166667
P89_ORIGINAL;iphone4s_original;D02_V_flat_still_0001.mov;False;0.377358;0.245614;0.166667
P89_ORIGINAL;iphone4s_original;D02_V_indoor_panrot_0001.mov;False;0.377358;0.245614;0.166667
P89_ORIGINAL;iphone4s_original;D02_V_indoor_still_0001.mov;False;0.377358;0.245614;0.166667
P89_ORIGINAL;iphone4s_original;D02_V_outdoor_panrot_0001.mov;False;0.377358;0.245614;0.166667
P89_ORIGINAL;iphone4s_original;D02_V_outdoor_panrot_0002.mov;False;0.377358;0.245614;0.166667
P89_ORIGINAL;iphone4s_original;D02_V_outdoor_still_0001.mov;False;0.377358;0.245614;0.166667
P89_ORIGINAL;iphone4s_original;D02_V_outdoor_still_0002.mov;False;0.377358;0.245614;0.166667
P89_ORIGINAL;iphone4s_original;D02_V_outdoor_still_0003.mov;False;0.377358;0.245614;0.166667
P89_ORIGINAL;p9_original;D03_V_flat_move_0002.mp4;False;0.911765;0.861111;0.815789
P89_ORIGINAL;p9_original;D03_V_flat_move_0003.mp4;False;0.911765;0.861111;0.815789
P89_ORIGINAL;p9_original;D03_V_flat_panrot_0001.mp4;False;0.911765;0.861111;0.815789
P89_ORIGINAL;p9_original;D03_V_flat_panrot_0002.mp4;False;0.911765;0.861111;0.815789
P89_ORIGINAL;p9_original;D03_V_flat_still_0001.mp4;False;0.911765;0.861111;0.815789
P89_ORIGINAL;p9_original;D03_V_indoor_move_0002.mp4;False;0.911765;0.861111;0.815789
P89_ORIGINAL;p9_original;D03_V_indoor_panrot_0001.mp4;False;0.911765;0.861111;0.815789
P89_ORIGINAL;p9_original;D03_V_indoor_panrot_0002.mp4;False;0.911765;0.861111;0.815789
P89_ORIGINAL;p9_original;D03_V_indoor_still_0001.mp4;False;0.911765;0.861111;0.815789
P89_ORIGINAL;p9_original;D03_V_indoor_still_0002.mp4;False;0.911765;0.861111;0.815789
P89_ORIGINAL;p9_original;D03_V_outdoor_move_0002.mp4;False;0.911765;0.861111;0.815789
P89_ORIGINAL;p9_original;D03_V_outdoor_panrot_0001.mp4;False;0.911765;0.861111;0.815789
P89_ORIGINAL;p9_original;D03_V_outdoor_panrot_0002.mp4;False;0.911765;0.861111;0.815789
P89_ORIGINAL;p9_original;D03_V_outdoor_still_0001.mp4;False;0.911765;0.861111;0.815789
P89_ORIGINAL;p9_original;D03_V_outdoor_still_0002.mp4;False;0.911765;0.861111;0.815789
P89_ORIGINAL;d290_original;D04_V_flat_move_0002.mp4;False;0.90625;0.882353;0.861111
P89_ORIGINAL;d290_original;D04_V_flat_move_0003.mp4;False;0.90625;0.882353;0.861111
P89_ORIGINAL;d290_original;D04_V_flat_panrot_0001.mp4;False;0.90625;0.882353;0.861111
P89_ORIGINAL;d290_original;D04_V_flat_panrot_0002.mp4;False;0.90625;0.882353;0.861111
P89_ORIGINAL;d290_original;D04_V_flat_still_0001.mp4;False;0.90625;0.882353;0.861111
P89_ORIGINAL;d290_original;D04_V_flat_still_0002.mp4;False;0.90625;0.882353;0.861111
P89_ORIGINAL;d290_original;D04_V_indoor_move_0002.mp4;False;0.90625;0.882353;0.861111
P89_ORIGINAL;d290_original;D04_V_indoor_panrot_0001.mp4;False;0.90625;0.882353;0.861111
P89_ORIGINAL;d290_original;D04_V_indoor_panrot_0002.mp4;False;0.90625;0.882353;0.861111
P89_ORIGINAL;d290_original;D04_V_indoor_still_0001.mp4;False;0.90625;0.882353;0.861111
P89_ORIGINAL;d290_original;D04_V_indoor_still_0002.mp4;False;0.90625;0.882353;0.861111
P89_ORIGINAL;d290_original;D04_V_outdoor_move_0002.mp4;False;0.90625;0.882353;0.861111
P89_ORIGINAL;d290_original;D04_V_outdoor_panrot_0001.mp4;False;0.90625;0.882353;0.861111
P89_ORIGINAL;d290_original;D04_V_outdoor_panrot_0002.mp4;False;0.90625;0.882353;0.861111
P89_ORIGINAL;d290_original;D04_V_outdoor_still_0001.mp4;False;0.90625;0.882353;0.861111
P89_ORIGINAL;d290_original;D04_V_outdoor_still_0002.mp4;False;0.90625;0.882353;0.861111
P89_ORIGINAL;iphone5c_original;D05_V_flat_move_0002.mov;False;0.392157;0.22807;0.129032
P89_ORIGINAL;iphone5c_original;D05_V_flat_move_0003.mov;False;0.392157;0.22807;0.129032
P89_ORIGINAL;iphone5c_original;D05_V_flat_panrot_0001.mov;False;0.392157;0.22807;0.129032
P89_ORIGINAL;iphone5c_original;D05_V_flat_panrot_0002.mov;False;0.392157;0.22807;0.129032
P89_ORIGINAL;iphone5c_original;D05_V_flat_still_0001.mov;False;0.392157;0.22807;0.129032
P89_ORIGINAL;iphone5c_original;D05_V_flat_still_0002.mov;False;0.392157;0.22807;0.129032
P89_ORIGINAL;iphone5c_original;D05_V_indoor_move_0002.mov;False;0.392157;0.22807;0.129032
P89_ORIGINAL;iphone5c_original;D05_V_indoor_panrot_0001.mov;False;0.392157;0.22807;0.129032
P89_ORIGINAL;iphone5c_original;D05_V_indoor_panrot_0002.mov;False;0.392157;0.22807;0.129032
P89_ORIGINAL;iphone5c_original;D05_V_indoor_still_0001.mov;False;0.392157;0.22807;0.129032
P89_ORIGINAL;iphone5c_original;D05_V_indoor_still_0002.mov;False;0.392157;0.22807;0.129032
P89_ORIGINAL;iphone5c_original;D05_V_outdoor_move_0002.mov;False;0.392157;0.22807;0.129032
P89_ORIGINAL;iphone5c_original;D05_V_outdoor_panrot_0001.mov;False;0.392157;0.22807;0.129032
P89_ORIGINAL;iphone5c_original;D05_V_outdoor_panrot_0002.mov;False;0.392157;0.22807;0.129032
P89_ORIGINAL;iphone5c_original;D05_V_outdoor_still_0001.mov;False;0.392157;0.22807;0.129032
P89_ORIGINAL;iphone5c_original;D05_V_outdoor_still_0002.mov;False;0.392157;0.22807;0.129032
P89_ORIGINAL;iphone6_original;D06_V_flat_move_0002.mov;False;0.4;0.245283;0.145455
P89_ORIGINAL;iphone6_original;D06_V_flat_panrot_0001.mov;False;0.4;0.245283;0.145455
P89_ORIGINAL;iphone6_original;D06_V_flat_panrot_0002.mov;False;0.4;0.245283;0.145455
P89_ORIGINAL;iphone6_original;D06_V_flat_still_0001.mov;False;0.4;0.245283;0.145455
P89_ORIGINAL;iphone6_original;D06_V_indoor_move_0002.mov;False;0.4;0.245283;0.145455
P89_ORIGINAL;iphone6_original;D06_V_indoor_panrot_0001.mov;False;0.4;0.245283;0.145455
P89_ORIGINAL;iphone6_original;D06_V_indoor_panrot_0002.mov;False;0.4;0.245283;0.145455
P89_ORIGINAL;iphone6_original;D06_V_indoor_still_0001.mov;False;0.4;0.245283;0.145455
P89_ORIGINAL;iphone6_original;D06_V_indoor_still_0002.mov;False;0.4;0.245283;0.145455
P89_ORIGINAL;iphone6_original;D06_V_outdoor_move_0002.mov;False;0.4;0.245283;0.145455
P89_ORIGINAL;iphone6_original;D06_V_outdoor_panrot_0001.mov;False;0.4;0.245283;0.145455
P89_ORIGINAL;iphone6_original;D06_V_outdoor_panrot_0002.mov;False;0.4;0.245283;0.145455
P89_ORIGINAL;iphone6_original;D06_V_outdoor_still_0001.mov;False;0.4;0.245283;0.145455
P89_ORIGINAL;iphone6_original;D06_V_outdoor_still_0002.mov;False;0.4;0.245283;0.145455
P89_ORIGINAL;galaxytab3_original;D08_V_flat_move_0002.mp4;False;0.75;0.705882;0.694444
P89_ORIGINAL;galaxytab3_original;D08_V_flat_move_0003.mp4;False;0.75;0.705882;0.694444
P89_ORIGINAL;galaxytab3_original;D08_V_flat_move_0004.mp4;False;0.75;0.705882;0.694444
P89_ORIGINAL;galaxytab3_original;D08_V_flat_panrot_0001.mp4;False;0.75;0.705882;0.694444
P89_ORIGINAL;galaxytab3_original;D08_V_flat_panrot_0002.mp4;False;0.75;0.705882;0.694444
P89_ORIGINAL;galaxytab3_original;D08_V_flat_panrot_0003.mp4;False;0.75;0.705882;0.694444
P89_ORIGINAL;galaxytab3_original;D08_V_flat_panrot_0004.mp4;False;0.75;0.705882;0.694444
P89_ORIGINAL;galaxytab3_original;D08_V_flat_still_0001.mp4;False;0.75;0.705882;0.694444
P89_ORIGINAL;galaxytab3_original;D08_V_flat_still_0002.mp4;False;0.75;0.705882;0.694444
P89_ORIGINAL;galaxytab3_original;D08_V_flat_still_0003.mp4;False;0.75;0.705882;0.694444
P89_ORIGINAL;galaxytab3_original;D08_V_flat_still_0004.mp4;False;0.75;0.705882;0.694444
P89_ORIGINAL;galaxytab3_original;D08_V_flat_still_0005.mp4;False;0.75;0.705882;0.694444
P89_ORIGINAL;galaxytab3_original;D08_V_indoor_move_0002.mp4;False;0.75;0.705882;0.694444
P89_ORIGINAL;galaxytab3_original;D08_V_indoor_move_0003.mp4;False;0.75;0.705882;0.694444
P89_ORIGINAL;galaxytab3_original;D08_V_indoor_move_0004.mp4;False;0.75;0.705882;0.694444
P89_ORIGINAL;galaxytab3_original;D08_V_indoor_panrot_0001.mp4;False;0.75;0.705882;0.694444
P89_ORIGINAL;galaxytab3_original;D08_V_indoor_panrot_0002.mp4;False;0.75;0.705882;0.694444
P89_ORIGINAL;galaxytab3_original;D08_V_indoor_panrot_0003.mp4;False;0.75;0.705882;0.694444
P89_ORIGINAL;galaxytab3_original;D08_V_indoor_panrot_0004.mp4;False;0.75;0.705882;0.694444
P89_ORIGINAL;galaxytab3_original;D08_V_indoor_still_0001.mp4;False;0.75;0.705882;0.694444
P89_ORIGINAL;galaxytab3_original;D08_V_indoor_still_0002.mp4;False;0.75;0.705882;0.694444
P89_ORIGINAL;galaxytab3_original;D08_V_indoor_still_0003.mp4;False;0.75;0.705882;0.694444
P89_ORIGINAL;galaxytab3_original;D08_V_indoor_still_0004.mp4;False;0.75;0.705882;0.694444
P89_ORIGINAL;galaxytab3_original;D08_V_outdoor_move_0002.mp4;False;0.75;0.705882;0.694444
P89_ORIGINAL;galaxytab3_original;D08_V_outdoor_move_0003.mp4;False;0.75;0.705882;0.694444
P89_ORIGINAL;galaxytab3_original;D08_V_outdoor_move_0004.mp4;False;0.75;0.705882;0.694444
P89_ORIGINAL;galaxytab3_original;D08_V_outdoor_panrot_0001.mp4;False;0.75;0.705882;0.694444
P89_ORIGINAL;galaxytab3_original;D08_V_outdoor_panrot_0002.mp4;False;0.75;0.705882;0.694444
P89_ORIGINAL;galaxytab3_original;D08_V_outdoor_panrot_0003.mp4;False;0.75;0.705882;0.694444
P89_ORIGINAL;galaxytab3_original;D08_V_outdoor_panrot_0004.mp4;False;0.75;0.705882;0.694444
P89_ORIGINAL;galaxytab3_original;D08_V_outdoor_still_0001.mp4;False;0.75;0.705882;0.694444
P89_ORIGINAL;galaxytab3_original;D08_V_outdoor_still_0002.mp4;False;0.75;0.705882;0.694444
P89_ORIGINAL;galaxytab3_original;D08_V_outdoor_still_0003.mp4;False;0.75;0.705882;0.694444
P89_ORIGINAL;galaxytab3_original;D08_V_outdoor_still_0004.mp4;False;0.75;0.705882;0.694444
P89_ORIGINAL;iphone4_original;D09_V_flat_move_0002.mov;False;0.377358;0.245614;0.166667
P89_ORIGINAL;iphone4_original;D09_V_flat_move_0003.mov;False;0.377358;0.245614;0.166667
P89_ORIGINAL;iphone4_original;D09_V_flat_panrot_0001.mov;False;0.377358;0.245614;0.166667
P89_ORIGINAL;iphone4_original;D09_V_flat_panrot_0002.mov;False;0.377358;0.245614;0.166667
P89_ORIGINAL;iphone4_original;D09_V_flat_still_0001.mov;False;0.377358;0.245614;0.166667
P89_ORIGINAL;iphone4_original;D09_V_flat_still_0002.mov;False;0.377358;0.245614;0.166667
P89_ORIGINAL;iphone4_original;D09_V_indoor_move_0002.mov;False;0.384615;0.25;0.169492
P89_ORIGINAL;iphone4_original;D09_V_indoor_panrot_0001.mov;False;0.377358;0.245614;0.166667
P89_ORIGINAL;iphone4_original;D09_V_indoor_panrot_0002.mov;False;0.377358;0.245614;0.166667
P89_ORIGINAL;iphone4_original;D09_V_indoor_still_0001.mov;False;0.377358;0.245614;0.166667
P89_ORIGINAL;iphone4_original;D09_V_indoor_still_0002.mov;False;0.377358;0.245614;0.166667
P89_ORIGINAL;iphone4_original;D09_V_outdoor_move_0002.mov;False;0.377358;0.245614;0.166667
P89_ORIGINAL;iphone4_original;D09_V_outdoor_panrot_0001.mov;False;0.377358;0.245614;0.166667
P89_ORIGINAL;iphone4_original;D09_V_outdoor_panrot_0002.mov;False;0.377358;0.245614;0.166667
P89_ORIGINAL;iphone4_original;D09_V_outdoor_still_0001.mov;False;0.377358;0.245614;0.166667
P89_ORIGINAL;iphone4_original;D09_V_outdoor_still_0002.mov;False;0.377358;0.245614;0.166667
