ground_truth_source;ground_truth_mp4;filename;true_positive;similarity_2;similarity_3;similarity_4
P9lite_ORIGINAL;galaxys3mini_original;D01_V_flat_move_0002.mp4;False;0.709677;0.636364;0.571429
P9lite_ORIGINAL;galaxys3mini_original;D01_V_flat_panrot_0001.mp4;False;0.709677;0.636364;0.571429
P9lite_ORIGINAL;galaxys3mini_original;D01_V_flat_still_0001.mp4;False;0.709677;0.636364;0.571429
P9lite_ORIGINAL;galaxys3mini_original;D01_V_indoor_move_0002.mp4;False;0.709677;0.636364;0.571429
P9lite_ORIGINAL;galaxys3mini_original;D01_V_indoor_panrot_0001.mp4;False;0.709677;0.636364;0.571429
P9lite_ORIGINAL;galaxys3mini_original;D01_V_indoor_panrot_0002.mp4;False;0.709677;0.636364;0.571429
P9lite_ORIGINAL;galaxys3mini_original;D01_V_indoor_still_0001.mp4;False;0.709677;0.636364;0.571429
P9lite_ORIGINAL;galaxys3mini_original;D01_V_indoor_still_0002.mp4;False;0.709677;0.636364;0.571429
P9lite_ORIGINAL;galaxys3mini_original;D01_V_outdoor_move_0002.mp4;False;0.709677;0.636364;0.571429
P9lite_ORIGINAL;galaxys3mini_original;D01_V_outdoor_move_0003.mp4;False;0.709677;0.636364;0.571429
P9lite_ORIGINAL;galaxys3mini_original;D01_V_outdoor_move_0004.mp4;False;0.709677;0.636364;0.571429
P9lite_ORIGINAL;galaxys3mini_original;D01_V_outdoor_panrot_0001.mp4;False;0.709677;0.636364;0.571429
P9lite_ORIGINAL;galaxys3mini_original;D01_V_outdoor_panrot_0002.mp4;False;0.709677;0.636364;0.571429
P9lite_ORIGINAL;galaxys3mini_original;D01_V_outdoor_panrot_0003.mp4;False;0.709677;0.636364;0.571429
P9lite_ORIGINAL;galaxys3mini_original;D01_V_outdoor_panrot_0004.mp4;False;0.709677;0.636364;0.571429
P9lite_ORIGINAL;galaxys3mini_original;D01_V_outdoor_still_0001.mp4;False;0.709677;0.636364;0.571429
P9lite_ORIGINAL;galaxys3mini_original;D01_V_outdoor_still_0002.mp4;False;0.709677;0.636364;0.571429
P9lite_ORIGINAL;galaxys3mini_original;D01_V_outdoor_still_0003.mp4;False;0.709677;0.636364;0.571429
