ground_truth_source;ground_truth_mp4;filename;true_positive;similarity_2;similarity_3;similarity_4
XperiaZ1Compact_ORIGINAL;galaxys3mini_original;D01_V_flat_move_0002.mp4;False;0.516129;0.393939;0.314286
XperiaZ1Compact_ORIGINAL;galaxys3mini_original;D01_V_flat_panrot_0001.mp4;False;0.516129;0.393939;0.314286
XperiaZ1Compact_ORIGINAL;galaxys3mini_original;D01_V_flat_still_0001.mp4;False;0.516129;0.393939;0.314286
XperiaZ1Compact_ORIGINAL;galaxys3mini_original;D01_V_indoor_move_0002.mp4;False;0.516129;0.393939;0.314286
XperiaZ1Compact_ORIGINAL;galaxys3mini_original;D01_V_indoor_panrot_0001.mp4;False;0.516129;0.393939;0.314286
XperiaZ1Compact_ORIGINAL;galaxys3mini_original;D01_V_indoor_panrot_0002.mp4;False;0.516129;0.393939;0.314286
XperiaZ1Compact_ORIGINAL;galaxys3mini_original;D01_V_indoor_still_0001.mp4;False;0.516129;0.393939;0.314286
XperiaZ1Compact_ORIGINAL;galaxys3mini_original;D01_V_indoor_still_0002.mp4;False;0.516129;0.393939;0.314286
XperiaZ1Compact_ORIGINAL;galaxys3mini_original;D01_V_outdoor_move_0002.mp4;False;0.516129;0.393939;0.314286
XperiaZ1Compact_ORIGINAL;galaxys3mini_original;D01_V_outdoor_move_0003.mp4;False;0.516129;0.393939;0.314286
XperiaZ1Compact_ORIGINAL;galaxys3mini_original;D01_V_outdoor_move_0004.mp4;False;0.516129;0.393939;0.314286
XperiaZ1Compact_ORIGINAL;galaxys3mini_original;D01_V_outdoor_panrot_0001.mp4;False;0.516129;0.393939;0.314286
XperiaZ1Compact_ORIGINAL;galaxys3mini_original;D01_V_outdoor_panrot_0002.mp4;False;0.516129;0.393939;0.314286
XperiaZ1Compact_ORIGINAL;galaxys3mini_original;D01_V_outdoor_panrot_0003.mp4;False;0.516129;0.393939;0.314286
XperiaZ1Compact_ORIGINAL;galaxys3mini_original;D01_V_outdoor_panrot_0004.mp4;False;0.516129;0.393939;0.314286
XperiaZ1Compact_ORIGINAL;galaxys3mini_original;D01_V_outdoor_still_0001.mp4;False;0.516129;0.393939;0.314286
XperiaZ1Compact_ORIGINAL;galaxys3mini_original;D01_V_outdoor_still_0002.mp4;False;0.516129;0.393939;0.314286
XperiaZ1Compact_ORIGINAL;galaxys3mini_original;D01_V_outdoor_still_0003.mp4;False;0.516129;0.393939;0.314286
XperiaZ1Compact_ORIGINAL;galaxys3mini_original;D01_V_outdoor_still_0004.mp4;False;0.516129;0.393939;0.314286
XperiaZ1Compact_ORIGINAL;iphone4s_original;D02_V_flat_move_0002.mov;False;0.25;0.160714;0.101695
XperiaZ1Compact_ORIGINAL;iphone4s_original;D02_V_flat_panrot_0001.mov;False;0.245283;0.157895;0.1
XperiaZ1Compact_ORIGINAL;iphone4s_original;D02_V_flat_still_0001.mov;False;0.245283;0.157895;0.1
XperiaZ1Compact_ORIGINAL;iphone4s_original;D02_V_indoor_panrot_0001.mov;False;0.245283;0.157895;0.1
XperiaZ1Compact_ORIGINAL;iphone4s_original;D02_V_indoor_still_0001.mov;False;0.245283;0.157895;0.1
XperiaZ1Compact_ORIGINAL;iphone4s_original;D02_V_outdoor_panrot_0001.mov;False;0.245283;0.157895;0.1
XperiaZ1Compact_ORIGINAL;iphone4s_original;D02_V_outdoor_panrot_0002.mov;False;0.245283;0.157895;0.1
XperiaZ1Compact_ORIGINAL;iphone4s_original;D02_V_outdoor_still_0001.mov;False;0.245283;0.157895;0.1
XperiaZ1Compact_ORIGINAL;iphone4s_original;D02_V_outdoor_still_0002.mov;False;0.245283;0.157895;0.1
XperiaZ1Compact_ORIGINAL;iphone4s_original;D02_V_outdoor_still_0003.mov;False;0.245283;0.157895;0.1
XperiaZ1Compact_ORIGINAL;p9_original;D03_V_flat_move_0002.mp4;False;0.647059;0.555556;0.473684
XperiaZ1Compact_ORIGINAL;p9_original;D03_V_flat_move_0003.mp4;False;0.647059;0.555556;0.473684
XperiaZ1Compact_ORIGINAL;p9_original;D03_V_flat_panrot_0001.mp4;False;0.647059;0.555556;0.473684
XperiaZ1Compact_ORIGINAL;p9_original;D03_V_flat_panrot_0002.mp4;False;0.647059;0.555556;0.473684
XperiaZ1Compact_ORIGINAL;p9_original;D03_V_flat_still_0001.mp4;False;0.647059;0.555556;0.473684
XperiaZ1Compact_ORIGINAL;p9_original;D03_V_indoor_move_0002.mp4;False;0.647059;0.555556;0.473684
XperiaZ1Compact_ORIGINAL;p9_original;D03_V_indoor_panrot_0001.mp4;False;0.647059;0.555556;0.473684
XperiaZ1Compact_ORIGINAL;p9_original;D03_V_indoor_panrot_0002.mp4;False;0.647059;0.555556;0.473684
XperiaZ1Compact_ORIGINAL;p9_original;D03_V_indoor_still_0001.mp4;False;0.647059;0.555556;0.473684
XperiaZ1Compact_ORIGINAL;p9_original;D03_V_indoor_still_0002.mp4;False;0.647059;0.555556;0.473684
XperiaZ1Compact_ORIGINAL;p9_original;D03_V_outdoor_move_0002.mp4;False;0.647059;0.555556;0.473684
XperiaZ1Compact_ORIGINAL;p9_original;D03_V_outdoor_panrot_0001.mp4;False;0.647059;0.555556;0.473684
XperiaZ1Compact_ORIGINAL;p9_original;D03_V_outdoor_panrot_0002.mp4;False;0.647059;0.555556;0.473684
XperiaZ1Compact_ORIGINAL;p9_original;D03_V_outdoor_still_0001.mp4;False;0.647059;0.555556;0.473684
XperiaZ1Compact_ORIGINAL;p9_original;D03_V_outdoor_still_0002.mp4;False;0.647059;0.555556;0.473684
XperiaZ1Compact_ORIGINAL;d290_original;D04_V_flat_move_0002.mp4;False;0.625;0.5;0.416667
XperiaZ1Compact_ORIGINAL;d290_original;D04_V_flat_move_0003.mp4;False;0.625;0.5;0.416667
XperiaZ1Compact_ORIGINAL;d290_original;D04_V_flat_panrot_0001.mp4;False;0.625;0.5;0.416667
XperiaZ1Compact_ORIGINAL;d290_original;D04_V_flat_panrot_0002.mp4;False;0.625;0.5;0.416667
XperiaZ1Compact_ORIGINAL;d290_original;D04_V_flat_still_0001.mp4;False;0.625;0.5;0.416667
XperiaZ1Compact_ORIGINAL;d290_original;D04_V_flat_still_0002.mp4;False;0.625;0.5;0.416667
