ground_truth_source;ground_truth_mp4;true_positive;similarity_2;similarity_3;similarity_4
Asus_ORIGINAL;Samsung_ORIGINAL;False;0.774194;0.727273;0.714286
Asus_ORIGINAL;Samsung_ORIGINAL;False;0.774194;0.727273;0.714286
Asus_ORIGINAL;Samsung_ORIGINAL;False;0.774194;0.727273;0.714286
Asus_ORIGINAL;Samsung_ORIGINAL;False;0.774194;0.727273;0.714286
Asus_ORIGINAL;Samsung_ORIGINAL;False;0.774194;0.727273;0.714286
Asus_ORIGINAL;Samsung_ORIGINAL;False;0.774194;0.727273;0.714286
Asus_ORIGINAL;Samsung_ORIGINAL;False;0.774194;0.727273;0.714286
Asus_ORIGINAL;Samsung_ORIGINAL;False;0.774194;0.727273;0.714286
Asus_ORIGINAL;Samsung_ORIGINAL;False;0.774194;0.727273;0.714286
Asus_ORIGINAL;Samsung_ORIGINAL;False;0.774194;0.727273;0.714286
Asus_ORIGINAL;Samsung_ORIGINAL;False;0.774194;0.727273;0.714286
Asus_ORIGINAL;Samsung_ORIGINAL;False;0.774194;0.727273;0.714286
Asus_ORIGINAL;Samsung_ORIGINAL;False;0.774194;0.727273;0.714286
Asus_ORIGINAL;Samsung_ORIGINAL;False;0.774194;0.727273;0.714286
Asus_ORIGINAL;Samsung_ORIGINAL;False;0.774194;0.727273;0.714286
Asus_ORIGINAL;Samsung_ORIGINAL;False;0.774194;0.727273;0.714286
Asus_ORIGINAL;Samsung_ORIGINAL;False;0.774194;0.727273;0.714286
Asus_ORIGINAL;Samsung_ORIGINAL;False;0.774194;0.727273;0.714286
Asus_ORIGINAL;Samsung_ORIGINAL;False;0.774194;0.727273;0.714286
Asus_ORIGINAL;Apple_ORIGINAL;False;0.384615;0.25;0.169492
Asus_ORIGINAL;Apple_ORIGINAL;False;0.377358;0.245614;0.166667
Asus_ORIGINAL;Apple_ORIGINAL;False;0.377358;0.245614;0.166667
Asus_ORIGINAL;Apple_ORIGINAL;False;0.377358;0.245614;0.166667
Asus_ORIGINAL;Apple_ORIGINAL;False;0.377358;0.245614;0.166667
Asus_ORIGINAL;Apple_ORIGINAL;False;0.377358;0.245614;0.166667
Asus_ORIGINAL;Apple_ORIGINAL;False;0.377358;0.245614;0.166667
Asus_ORIGINAL;Apple_ORIGINAL;False;0.377358;0.245614;0.166667
Asus_ORIGINAL;Apple_ORIGINAL;False;0.377358;0.245614;0.166667
Asus_ORIGINAL;Apple_ORIGINAL;False;0.377358;0.245614;0.166667
Asus_ORIGINAL;Huawei_ORIGINAL;False;0.911765;0.861111;0.815789
Asus_ORIGINAL;Huawei_ORIGINAL;False;0.911765;0.861111;0.815789
Asus_ORIGINAL;Huawei_ORIGINAL;False;0.911765;0.861111;0.815789
Asus_ORIGINAL;Huawei_ORIGINAL;False;0.911765;0.861111;0.815789
Asus_ORIGINAL;Huawei_ORIGINAL;False;0.911765;0.861111;0.815789
Asus_ORIGINAL;Huawei_ORIGINAL;False;1.0;1.0;1.0
Asus_ORIGINAL;Huawei_ORIGINAL;False;0.911765;0.861111;0.815789
Asus_ORIGINAL;Huawei_ORIGINAL;False;0.911765;0.861111;0.815789
Asus_ORIGINAL;Huawei_ORIGINAL;False;0.911765;0.861111;0.815789
Asus_ORIGINAL;Huawei_ORIGINAL;False;0.911765;0.861111;0.815789
Asus_ORIGINAL;Huawei_ORIGINAL;False;0.911765;0.861111;0.815789
Asus_ORIGINAL;Huawei_ORIGINAL;False;0.911765;0.861111;0.815789
Asus_ORIGINAL;Huawei_ORIGINAL;False;0.911765;0.861111;0.815789
Asus_ORIGINAL;Huawei_ORIGINAL;False;0.911765;0.861111;0.815789
Asus_ORIGINAL;Huawei_ORIGINAL;False;0.911765;0.861111;0.815789
Asus_ORIGINAL;Huawei_ORIGINAL;False;0.911765;0.861111;0.815789
Asus_ORIGINAL;LG_ORIGINAL;False;0.90625;0.882353;0.861111
Asus_ORIGINAL;LG_ORIGINAL;False;0.90625;0.882353;0.861111
Asus_ORIGINAL;LG_ORIGINAL;False;0.90625;0.882353;0.861111
Asus_ORIGINAL;LG_ORIGINAL;False;0.90625;0.882353;0.861111
Asus_ORIGINAL;LG_ORIGINAL;False;0.90625;0.882353;0.861111
Asus_ORIGINAL;LG_ORIGINAL;False;0.90625;0.882353;0.861111
Asus_ORIGINAL;LG_ORIGINAL;False;0.90625;0.882353;0.861111
Asus_ORIGINAL;LG_ORIGINAL;False;0.90625;0.882353;0.861111
Asus_ORIGINAL;LG_ORIGINAL;False;0.90625;0.882353;0.861111
Asus_ORIGINAL;LG_ORIGINAL;False;0.90625;0.882353;0.861111
Asus_ORIGINAL;LG_ORIGINAL;False;0.90625;0.882353;0.861111
Asus_ORIGINAL;LG_ORIGINAL;False;0.90625;0.882353;0.861111
Asus_ORIGINAL;LG_ORIGINAL;False;0.90625;0.882353;0.861111
Asus_ORIGINAL;LG_ORIGINAL;False;0.90625;0.882353;0.861111
Asus_ORIGINAL;LG_ORIGINAL;False;0.90625;0.882353;0.861111
Asus_ORIGINAL;LG_ORIGINAL;False;0.90625;0.882353;0.861111
Asus_ORIGINAL;Apple_ORIGINAL;False;0.392157;0.22807;0.129032
Asus_ORIGINAL;Apple_ORIGINAL;False;0.392157;0.22807;0.129032
Asus_ORIGINAL;Apple_ORIGINAL;False;0.392157;0.22807;0.129032
Asus_ORIGINAL;Apple_ORIGINAL;False;0.392157;0.22807;0.129032
Asus_ORIGINAL;Apple_ORIGINAL;False;0.392157;0.22807;0.129032
Asus_ORIGINAL;Apple_ORIGINAL;False;0.392157;0.22807;0.129032
Asus_ORIGINAL;Apple_ORIGINAL;False;0.392157;0.22807;0.129032
Asus_ORIGINAL;Apple_ORIGINAL;False;0.392157;0.22807;0.129032
Asus_ORIGINAL;Apple_ORIGINAL;False;0.392157;0.22807;0.129032
Asus_ORIGINAL;Apple_ORIGINAL;False;0.392157;0.22807;0.129032
Asus_ORIGINAL;Apple_ORIGINAL;False;0.392157;0.22807;0.129032
Asus_ORIGINAL;Apple_ORIGINAL;False;0.392157;0.22807;0.129032
