ground_truth;source;similarity
Apple;Apple;1.0
Apple;Bing;0.6
Apple;Bing;0.6
Apple;Gemini;0.6
Apple;Grok;0.6154
Apple;Grok;0.6154
Apple;Huawei;0.5882
Apple;Kling;0.675
Apple;LumaAI;0.6154
Apple;Perplexity;0.7
Apple;Pika;0.7241
Apple;Pika;0.7
Apple;RunwayAI;0.7
Apple;Samsung;0.5484
Apple;Samsung;0.5484
Bing;Apple;0.4528
Bing;Apple;0.4528
Bing;Bing;1.0
Bing;Bing;1.0
Bing;Bing;1.0
Bing;Bing;1.0
Bing;Gemini;0.9
Bing;Gemini;0.9
Bing;Grok;0.9744
Bing;Grok;0.9744
Bing;Grok;0.9744
Bing;Grok;0.9744
Bing;Huawei;0.5588
Bing;Huawei;0.5588
Bing;Kling;0.875
Bing;Kling;0.875
Bing;LumaAI;0.9744
Bing;LumaAI;0.9744
Bing;Perplexity;0.9333
Bing;Perplexity;0.9333
Bing;Pika;0.8621
Bing;Pika;0.8621
Bing;Pika;0.9333
Bing;Pika;0.9333
Bing;RunwayAI;0.8667
Bing;RunwayAI;0.8667
Bing;Samsung;0.5806
Bing;Samsung;0.5806
Bing;Samsung;0.5806
Bing;Samsung;0.5806
Gemini;Apple;0.4528
Gemini;Bing;0.9
Gemini;Bing;0.9
Gemini;Gemini;1.0
Gemini;Grok;0.9231
Gemini;Grok;0.9231
Gemini;Huawei;0.5294
Gemini;Kling;0.825
Gemini;LumaAI;0.9231
Gemini;Perplexity;0.8667
Gemini;Pika;0.8966
Gemini;Pika;0.8667
Gemini;RunwayAI;0.8333
Gemini;Samsung;0.6129
Gemini;Samsung;0.6129
Grok;Apple;0.4528
Grok;Apple;0.4528
Grok;Bing;0.95
Grok;Bing;0.95
Grok;Bing;0.95
Grok;Bing;0.95
Grok;Gemini;0.9
Grok;Gemini;0.9
Grok;Grok;1.0
Grok;Grok;1.0
Grok;Grok;1.0
Grok;Grok;1.0
Grok;Huawei;0.5882
Grok;Huawei;0.5882
Grok;Kling;0.9
Grok;Kling;0.9
Grok;LumaAI;1.0
Grok;LumaAI;1.0
Grok;Perplexity;0.9667
Grok;Perplexity;0.9667
Grok;Pika;0.8621
Grok;Pika;0.8621
Grok;Pika;0.9667
Grok;Pika;0.9667
Grok;RunwayAI;0.8333
Grok;RunwayAI;0.8333
Grok;Samsung;0.5806
Grok;Samsung;0.5806
Grok;Samsung;0.5806
Grok;Samsung;0.5806
Huawei;Apple;0.3774
Huawei;Bing;0.475
Huawei;Bing;0.475
Huawei;Gemini;0.45
Huawei;Grok;0.5128
Huawei;Grok;0.5128
Huawei;Huawei;1.0
Huawei;Kling;0.55
Huawei;LumaAI;0.5128
Huawei;Perplexity;0.5333
Huawei;Pika;0.5172
Huawei;Pika;0.5333
Huawei;RunwayAI;0.5
Huawei;Samsung;0.7097
Huawei;Samsung;0.7097
Kling;Apple;0.5094
Kling;Bing;0.875
Kling;Bing;0.875
Kling;Gemini;0.825
Kling;Grok;0.9231
Kling;Grok;0.9231
Kling;Huawei;0.6471
Kling;Kling;1.0
Kling;LumaAI;0.9231
Kling;Perplexity;0.9667
Kling;Pika;0.8621
Kling;Pika;0.9667
Kling;RunwayAI;0.8333
Kling;Samsung;0.5484
Kling;Samsung;0.5484
LumaAI;Apple;0.4528
LumaAI;Bing;0.95
LumaAI;Bing;0.95
LumaAI;Gemini;0.9
LumaAI;Grok;1.0
LumaAI;Grok;1.0
LumaAI;Huawei;0.5882
LumaAI;Kling;0.9
LumaAI;LumaAI;1.0
LumaAI;Perplexity;0.9667
LumaAI;Pika;0.8621
LumaAI;Pika;0.9667
LumaAI;RunwayAI;0.8333
LumaAI;Samsung;0.5806
LumaAI;Samsung;0.5806
Perplexity;Apple;0.3962
Perplexity;Bing;0.7
Perplexity;Bing;0.7
Perplexity;Gemini;0.65
Perplexity;Grok;0.7436
Perplexity;Grok;0.7436
Perplexity;Huawei;0.4706
Perplexity;Kling;0.725
Perplexity;LumaAI;0.7436
Perplexity;Perplexity;1.0
Perplexity;Pika;0.8966
Perplexity;Pika;1.0
Perplexity;RunwayAI;0.8667
Perplexity;Samsung;0.4194
Perplexity;Samsung;0.4194
Pika;Apple;0.3962
Pika;Apple;0.3962
Pika;Bing;0.625
Pika;Bing;0.7
Pika;Bing;0.625
Pika;Bing;0.7
Pika;Gemini;0.65
Pika;Gemini;0.65
Pika;Grok;0.641
Pika;Grok;0.7436
Pika;Grok;0.641
Pika;Grok;0.7436
Pika;Huawei;0.4412
Pika;Huawei;0.4706
Pika;Kling;0.625
Pika;Kling;0.725
Pika;LumaAI;0.641
Pika;LumaAI;0.7436
Pika;Perplexity;0.8667
Pika;Perplexity;1.0
Pika;Pika;1.0
